,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,5.0,,,,
3,,MATRİZ ZIMBA KALIP,,,,,,0.1,10.58,BALINIT® A (TiN),5.0,217.32568,1975.688,217.32568,217.32568
4,,,,,,,,0.2,8.81,BALINIT® B (TiCN),,217.32568,115.0,19.55,19.55
5,,Birim Hacim Hesaplayın,,Kaplama,,,,0.3,4.41,BALINIT® C (WC/C),,217.32568,,,
6,,Dış Çap [mm],220.0,,,,,0.4,3.35,BALINIT® CAST (CrC),,217.32568,,,
7,,Uzunluk [mm],52.0,,,,,0.5,2.65,BALINIT® D (CrN),,98.7844,,,
8,,,,,,,,0.6,2.3,BALINIT® FUTURA NANO (TiAlN),,19.55,,,
9,,Hacim [cm3] / Stück,1975.688,,,,,0.8,1.95,BALINIT® FUTURA TOP (TiAlN),,19.55,,,
10,,,,,,,,1.0,1.67,BALINIT® A + C ,,19.55,,,
11,,,,FİYAT [EUR],217.32568,,,2.0,1.33,BALINIT® B + C ,,14.950000000000001,,,
12,,,,,,,,3.0,1.12,BALINIT® FUTURA NANO + C ,,5.75,,,
13,,,,,,,,4.0,0.83,BALINIT® G + C,,,,,
14,,MATRİZ ZIMBA KALIP,,,,,,6.0,0.63,BALINIT® TRITON (DLC),,,,,
15,,,,,,,,10.0,0.44,BALINIT® LUMENA (TiAlN),,,,,
16,,Birim Hacim Hesaplayın,,Kaplama,,,,15.0,0.34,BALINIT® ALCRONA (AlCrN),,,,,
17,,Uzunluk [mm],115.0,,,,,20.0,0.3,,,,,,
18,,Genişlik [mm],40.0,,,,,30.0,0.23,,,,,,
19,,Yükseklik (Kalınlık) [mm],25.0,,,,,45.0,0.2,,,,,,
20,,,,,,,,60.0,0.19,,,,,,
21,,Hacim [cm3] / Stück,115.0,,,,,75.0,0.18,,,,,,
22,,,,,,,,120.0,0.17,,,,,,
23,,,,FİYAT [EUR],19.55,,,140.0,0.16,,,,,,
24,,,,,,,,240.0,0.15,,,,,,
25,,,,,,,,700.0,0.14,,,,,,
26,,,,,,,,1200.0,0.13,,,,,,
27,,,,,,,,1800.0,0.12,,,,,,
28,,,,,,,,3500.0,0.11,,,,,,
29,,,,,,,,4500.0,0.1,,,,,,
30,,,,,,,,5500.0,0.09,,,,,,
31,,,,,,,,7500.0,0.08,,,,,,
32,,,,,,,,8500.0,0.07,,,,,,
33,,,,,,,,9500.0,0.06,,,,,,
34,,,,,,,,25000.0,0.05,,,,,,
35,,,,,,,,65000.0,0.04,,,,,,
36,,,,,,,,85000.0,0.03,,,,,,
